id,concepto,second_category_id,
1,Conocimiento ,0,
2,El libro ,0,
3,Sistemas ,0,
4,Procesamiento de datos. Ciencia de los computadores ,0,
5,"Programación, programas, datos de computación ",0,
6,Métodos especiales de computación ,0,
11,Bibliografías ,10,
12,De individuos ,10,
13,De obras por clases específicas de autores  ,10,
14,De obras anónimas & seudónimas ,10,
15,De obras de lugares específicos ,10,
16,De obras sobre temas específicos ,10,
17,Catálogos generales por materia ,10,
18,"Catálogos ordenados por autor,  fecha, etc. ",10,
19,Catálogos diccionario ,10,
21,Relaciones bibliotecarias ,20,
22,Administración  de la planta física ,20,
23,Administración de personal ,20,
25,Operaciones bibliotecarias ,20,
26,Bibliotecas para temas específicos ,20,
27,Bibliotecas generales ,20,
28,"Lectura, uso de otros medios de información ",20,
31,Norteamericanas ,30, 
32,En inglés ,30, 
33,En otras lenguas germánicas ,30, 
34,"En francés, provenzal, catalán ",30, 
35,"En italiano, rumano, retorromano ",30, 
36,"En español, & portugués ",30, 
37,En lenguas eslavas ,30, 
38,En lenguas escandinavas ,30, 
39,En otras lenguas ,30, 
51,Norteamericanas ,50,
52,En inglés ,50,
53,En otras lenguas germánicas ,50,
54,"En francés, provenzal, catalán ",50,
55,"En italiano, rumano, retorromano ",50,
56,En español & portugués ,50,
57,En lenguas eslavas ,50,
58,En lenguas escandinavas ,50,
59,En otras lenguas ,50,
61,En América del Norte ,60,
62,En las Islas Británicas. En Inglaterra ,60,
63,En Europa central. En Alemania ,60,
64,En Francia & Mónaco ,60,
65,En Italia & territorios adyacentes ,60,
66,En la Península Ibérica & islas adyacentes ,60,
67,En Europa oriental Rusia ,60,
68,En otras áreas ,60,
69,Museología (Ciencia de los museos) ,60,
71,En América del Norte ,70,
72,En las Islas Británicas. En Inglaterra ,70,
73,En Europa central. En Alemania ,70,
74,En Francia y Mónaco ,70,
75,En Asia y territorios adyacentes ,70,
76,En la Península Ibérica & islas adyacentes ,70,
77,En Europa oriental. En Rusia ,70,
78,En Escandinavia ,70,
79,En otras áreas geográficas ,70,
81,Norteamericanas ,80,
82,En inglés ,80,
83,En otras lenguas germánicas ,80,
